variable,group
soceco_gdp.pcap.10yrmed_country_tr_Southern_Asia,5
soceco_gdp.pcap.10yrmed_country_tr_South_America,5
soceco_gdp.pcap.10yrmed_country_tr_Northern_America,5
soceco_gdp.pcap.10yrmed_country_tr_Africa,5
soceco_gdp.pcap.10yrmed_country_tr_South-Eastern_Asia,5
soceco_gdp.pcap.10yrmed_country_tr_Arab,5
soceco_gdp.pcap.10yrmed_country_tr_Asia,5
soceco_gdp.pcap.10yrmed_country_tr_Central_America,5
soceco_gdp.pcap.10yrmed_country_tr_Australia_and_New_Zealand,5
landuse_urban.change_country_tr_Western_Africa,6
landuse_urban.change_country_tr_Oceania,6
landuse_urban.change_country_tr_Europe,6
landuse_urban.change_country_tr_Southern_Asia,6
landuse_urban.change_country_tr_South_America,6
landuse_urban.change_country_tr_Northern_America,6
landuse_urban.change_country_tr_Africa,6
landuse_urban.change_country_tr_South-Eastern_Asia,6
landuse_urban.change_country_tr_Arab,6
landuse_urban.change_country_tr_Asia,6
landuse_urban.change_country_tr_Central_America,6
landuse_urban.change_country_tr_Australia_and_New_Zealand,6
worldlang_world.language.as.official_country_tr_Europe,7
worldlang_world.language.as.official_country_tr_Southern_Asia,7
worldlang_world.language.as.official_country_tr_South_America,7
worldlang_world.language.as.official_country_tr_Northern_America,7
worldlang_world.language.as.official_country_tr_Africa,7
worldlang_world.language.as.official_country_tr_South-Eastern_Asia,7
worldlang_world.language.as.official_country_tr_Arab,7
worldlang_world.language.as.official_country_tr_Asia,7
worldlang_world.language.as.official_country_tr_Australia_and_New_Zealand,7
edu_minority.education.policy_country_tr_Western_Africa,8
edu_minority.education.policy_country_tr_Oceania,8
edu_minority.education.policy_country_tr_Europe,8
edu_minority.education.policy_country_tr_Southern_Asia,8
edu_minority.education.policy_country_tr_South_America,8
edu_minority.education.policy_country_tr_Northern_America,8
edu_minority.education.policy_country_tr_Africa,8
edu_minority.education.policy_country_tr_South-Eastern_Asia,8
edu_minority.education.policy_country_tr_Arab,8
edu_minority.education.policy_country_tr_Asia,8
edu_minority.education.policy_country_tr_Central_America,8
worldlang_Arabic_country_tr_Western_Africa,9
worldlang_Arabic_country_tr_Europe,9
worldlang_Arabic_country_tr_Southern_Asia,9
worldlang_Arabic_country_tr_Africa,9
worldlang_Arabic_country_tr_Arab,9
worldlang_English_country_tr_Western_Africa,11
worldlang_English_country_tr_Oceania,11
worldlang_English_country_tr_Europe,11
worldlang_English_country_tr_Southern_Asia,11
worldlang_English_country_tr_South_America,11
worldlang_English_country_tr_Northern_America,11
worldlang_English_country_tr_Africa,11
worldlang_English_country_tr_South-Eastern_Asia,11
worldlang_English_country_tr_Arab,11
worldlang_English_country_tr_Asia,11
worldlang_English_country_tr_Central_America,11
worldlang_English_country_tr_Australia_and_New_Zealand,11
worldlang_French_country_tr_Western_Africa,12
worldlang_French_country_tr_Oceania,12
worldlang_French_country_tr_Europe,12
worldlang_French_country_tr_South_America,12
worldlang_French_country_tr_Northern_America,12
worldlang_French_country_tr_Africa,12
worldlang_French_country_tr_South-Eastern_Asia,12
worldlang_French_country_tr_Arab,12
worldlang_French_country_tr_Asia,12
worldlang_Hindustani_country_tr_Oceania,13
worldlang_Hindustani_country_tr_Southern_Asia,13
worldlang_Hindustani_country_tr_South-Eastern_Asia,13
worldlang_Hindustani_country_tr_Arab,13
worldlang_Hindustani_country_tr_Asia,13
worldlang_Mandarin_country_tr_Europe,14
worldlang_Mandarin_country_tr_Southern_Asia,14
worldlang_Mandarin_country_tr_South-Eastern_Asia,14
worldlang_Mandarin_country_tr_Asia,14
worldlang_Portuguese_country_tr_Western_Africa,15
worldlang_Portuguese_country_tr_Europe,15
worldlang_Portuguese_country_tr_South_America,15
worldlang_Portuguese_country_tr_Africa,15
worldlang_Portuguese_country_tr_South-Eastern_Asia,15
worldlang_Portuguese_country_tr_Asia,15
worldlang_Russian_country_tr_Europe,16
worldlang_Russian_country_tr_Southern_Asia,16
worldlang_Russian_country_tr_Northern_America,16
worldlang_Russian_country_tr_Arab,16
worldlang_Russian_country_tr_Asia,16
worldlang_Spanish_country_tr_Europe,17
worldlang_Spanish_country_tr_South_America,17
worldlang_Spanish_country_tr_Northern_America,17
worldlang_Spanish_country_tr_Africa,17
worldlang_Spanish_country_tr_Arab,17
worldlang_Spanish_country_tr_Central_America,17
edu_used.in.education_lang_tr_Western_Africa,18
edu_used.in.education_lang_tr_Oceania,18
edu_used.in.education_lang_tr_Europe,18
edu_used.in.education_lang_tr_Southern_Asia,18
edu_used.in.education_lang_tr_South_America,18
edu_used.in.education_lang_tr_Northern_America,18
edu_used.in.education_lang_tr_Africa,18
edu_used.in.education_lang_tr_South-Eastern_Asia,18
edu_used.in.education_lang_tr_Arab,18
edu_used.in.education_lang_tr_Asia,18
edu_used.in.education_lang_tr_Australia_and_New_Zealand,18
lang_official.in.any.country_lang_tr_Western_Africa,18
lang_official.in.any.country_lang_tr_Oceania,18
lang_official.in.any.country_lang_tr_Europe,18
lang_official.in.any.country_lang_tr_Southern_Asia,18
lang_official.in.any.country_lang_tr_South_America,18
lang_official.in.any.country_lang_tr_Northern_America,18
lang_official.in.any.country_lang_tr_Africa,18
lang_official.in.any.country_lang_tr_South-Eastern_Asia,18
lang_official.in.any.country_lang_tr_Arab,18
lang_official.in.any.country_lang_tr_Asia,18
lang_official.in.any.country_lang_tr_Australia_and_New_Zealand,18
landuse_hfp_polygon_tr_Western_Africa,19
landuse_hfp_polygon_tr_Oceania,19
landuse_hfp_polygon_tr_Europe,19
landuse_hfp_polygon_tr_Southern_Asia,19
landuse_hfp_polygon_tr_South_America,19
landuse_hfp_polygon_tr_Northern_America,19
landuse_hfp_polygon_tr_Africa,19
landuse_hfp_polygon_tr_South-Eastern_Asia,19
landuse_hfp_polygon_tr_Arab,19
landuse_hfp_polygon_tr_Asia,19
landuse_hfp_polygon_tr_Central_America,19
landuse_hfp_polygon_tr_Australia_and_New_Zealand,19
landuse_built_polygon_tr_Western_Africa,20
landuse_built_polygon_tr_Oceania,20
landuse_built_polygon_tr_Europe,20
landuse_built_polygon_tr_Southern_Asia,20
landuse_built_polygon_tr_South_America,20
landuse_built_polygon_tr_Northern_America,20
landuse_built_polygon_tr_Africa,20
landuse_built_polygon_tr_South-Eastern_Asia,20
landuse_built_polygon_tr_Arab,20
landuse_built_polygon_tr_Asia,20
landuse_built_polygon_tr_Central_America,20
landuse_built_polygon_tr_Australia_and_New_Zealand,20
landuse_croplands_polygon_tr_Western_Africa,19
landuse_croplands_polygon_tr_Oceania,19
