variable,group
div_L1pop.over.nb.popdens_nb_tr_Southern_Asia,2
div_L1pop.over.nb.popdens_nb_tr_South_America,2
div_L1pop.over.nb.popdens_nb_tr_Northern_America,2
div_L1pop.over.nb.popdens_nb_tr_Africa,2
div_L1pop.over.nb.popdens_nb_tr_South-Eastern_Asia,2
div_L1pop.over.nb.popdens_nb_tr_Arab,2
div_L1pop.over.nb.popdens_nb_tr_Asia,2
div_L1pop.over.nb.popdens_nb_tr_Central_America,2
div_L1pop.over.nb.popdens_nb_tr_Australia_and_New_Zealand,2
lang_polygon.area_lang_tr_Western_Africa,22
lang_polygon.area_lang_tr_Oceania,22
lang_polygon.area_lang_tr_Europe,22
lang_polygon.area_lang_tr_Southern_Asia,22
lang_polygon.area_lang_tr_South_America,22
lang_polygon.area_lang_tr_Northern_America,22
lang_polygon.area_lang_tr_Africa,22
lang_polygon.area_lang_tr_South-Eastern_Asia,22
lang_polygon.area_lang_tr_Arab,22
lang_polygon.area_lang_tr_Asia,22
lang_polygon.area_lang_tr_Central_America,22
lang_polygon.area_lang_tr_Australia_and_New_Zealand,22
lang_documentation_lang_tr_Western_Africa,27
lang_documentation_lang_tr_Oceania,27
lang_documentation_lang_tr_Europe,27
lang_documentation_lang_tr_Southern_Asia,27
lang_documentation_lang_tr_South_America,27
lang_documentation_lang_tr_Northern_America,27
lang_documentation_lang_tr_Africa,27
lang_documentation_lang_tr_South-Eastern_Asia,27
lang_documentation_lang_tr_Arab,27
lang_documentation_lang_tr_Asia,27
lang_documentation_lang_tr_Central_America,27
lang_documentation_lang_tr_Australia_and_New_Zealand,27
Polysynthetic_Oceania,28
Polysynthetic_Europe,28
Polysynthetic_Southern_Asia,28
Polysynthetic_South_America,28
Polysynthetic_Northern_America,28
Polysynthetic_Arab,28
Polysynthetic_Asia,28
Polysynthetic_Central_America,28
Polysynthetic_Australia_and_New_Zealand,28
Extended_Oceania,28
Extended_Europe,28
Extended_Southern_Asia,28
Extended_South_America,28
Extended_Northern_America,28
Extended_South-Eastern_Asia,28
Extended_Arab,28
Extended_Asia,28
Extended_Central_America,28
Extended_Australia_and_New_Zealand,28
