"","ISO","Language.Name","Altitude","Area","Bordering.languages","Bordering.languages.km","Extended","L1.pop","Polysynthetic","Roughness","Small.family","Vehicularity"
"64","adj","Adioukrou",170.2126007,1440.332994,9,0.052370131,0,100000,0,4.189496994,0,0
"65","adl","Galo",3936.284912,3730.907278,2,0.008935211,0,30000,0,7.050323009,0,0
"66","adn","Adang",568.1637573,71.18014492,2,0.056116389,0,3000,0,6.116060734,0,0
"67","ado","Abu",1331.161784,1115.906642,7,0.04264989,0,4200,0,5.888193766,0,0
"68","adq","Adangbe",298.1988068,622.1514933,3,0.022580785,0,2200,0,4.86211729,0,0
"69","adr","Adonara",359.1753235,589.4238099,2,0.013433197,0,98000,0,5.88604784,0,0
"70","adt","Adnyamathanha",340.1503983,12961.26958,1,0.001916072,0,110,0,4.942745447,0,0
"71","adw","Amundava",138.7994347,2112.604267,2,0.011455511,0,83,0,3.933862209,0,0
"72","adx","Amdo Tibetan",1276.751831,287019.2073,15,0.004513953,0,1800000,0,6.123123169,0,0
"73","ady","Adyghe",936.2339478,2947.480151,5,0.004915051,1,467800,1,5.981981277,0,1
"74","adz","Adzera",1916.283508,1708.479745,11,0.049794423,0,30000,0,6.958115339,0,0
"75","aea","Areba",147.7705002,20055.97626,4,0.007150769,0,0,0,3.735556722,0,0
"76","aee","Northeast Pashayi",3754.145508,294.619786,4,0.044655991,0,54400,0,7.082107067,0,0
"77","aek","Haeke",199.3482857,48.78164374,3,0.110963447,0,300,0,5.69926405,0,0
"78","ael","Ambele",1106.72113,250.2873751,7,0.094585032,0,2600,0,5.925098896,0,0
"79","aem","Arem",712.0228271,232.9548419,4,0.042913463,0,40,0,6.122921944,0,0
"80","aeq","Aer",81.64800644,0.137073262,0,0,0,100,0,3.345421553,0,0
"81","aer","Eastern Arrernte",321.3941612,32665.47781,1,0.001332102,0,2380,0,4.53102386,0,0
"82","aeu","Akeu",745.2794495,4732.72409,8,0.016519633,0,11400,0,6.088199258,0,0
"83","aew","Ambakich",1331.161784,661.7813748,4,0.032678169,0,770,0,5.888193766,0,0
"84","aey","Amele",2141.664124,129.6832588,5,0.085360109,0,5300,0,7.110357523,0,0
"85","aez","Aeka",1763.608978,479.1665939,2,0.020332617,0,3400,0,7.142966628,0,0
"86","afd","Andai",1842.21226,555.9396543,1,0.010741305,0,400,0,6.533751488,0,0
"87","afe","Putukwam",727.786972,243.7237909,8,0.102291688,0,70000,0,5.333243728,0,0
"88","afi","Chini",1692.247772,65.35287952,4,0.12536961,0,75,0,6.021868944,0,0
"89","afk","Nanubae",1605.971558,144.5057981,4,0.084498387,0,1270,0,6.177941203,0,0
"90","afn","Defaka",269.6792212,0.01163082,1,2.294476861,0,200,0,4.263822079,0,0
"91","afo","Eloyi",506.0942841,1959.12415,4,0.021590003,0,25000,0,5.171826363,0,0
"92","afp","Tapei",1605.971558,87.1993658,3,0.072937388,0,290,0,6.177941203,0,0
"93","afr","Afrikaans",333.4846497,804028.506,30,0.002308633,0,6969900,0,4.991360664,0,1
"94","aft","Afitti",244.1084976,210.7804798,2,0.036778496,0,4510,0,4.368705988,1,0
"95","afu","Awutu",251.8383484,677.8663654,3,0.018728295,0,180000,0,4.652168751,0,0
